Treat.group;Treatment;Axis.1;Axis.2;Axis.3;Axis.4;Axis.5;Axis.6;Axis.7;Axis.8;Axis.9;Axis.10;Wettability;Metric;Crystalinity;Max.compression;Roughness.arith;Roughness.quant;Youngs.modulus
PE;pe1;-0.121419015;-0.005626461;-0.073780195;0.044007501;-0.009338803;0.037167758;-0.024244289;-0.016112758;-0.018090954;0.011117898;101.7;Weighted Unifrac;87.65;6.579;106;136.9;347.2
PE;pe2;-0.090392281;0.045025365;-0.012814067;-0.020227128;0.019549897;0.024386787;0.027779398;-0.052836053;0.017473494;-0.012335194;101.7;Weighted Unifrac;87.65;6.579;106;136.9;347.2
PE;pe3;-0.119328866;0.046477244;-0.006073705;-0.003360052;-0.012719501;0.017848653;-0.019997401;0.044416001;0.016913236;0.001884471;101.7;Weighted Unifrac;87.65;6.579;106;136.9;347.2
PP;pp1;-0.059978399;0.075960722;0.047906536;-0.001413847;0.069891738;-0.00973084;-0.034806391;0.006921753;-0.007842955;0.021152155;99;Weighted Unifrac;35.27;511.6;117;157.1;656.3
PP;pp2;-0.069784157;-0.030410678;-0.008751693;-0.021439852;-0.019082979;-0.037636515;0.006692542;0.008280412;-0.004152774;-0.024282444;99;Weighted Unifrac;35.27;511.6;117;157.1;656.3
PP;pp3;-0.111860522;0.040844684;-0.009045924;0.012398124;-0.039441515;-0.045135597;0.009094608;-0.002770284;-0.021403938;-0.021208829;99;Weighted Unifrac;35.27;511.6;117;157.1;656.3
PS;ps1b;-0.026084604;-0.087572104;0.046369582;-0.007058668;0.023397688;-0.019003977;-0.029680835;0.009786918;0.030154518;-0.021914883;87;Weighted Unifrac;0;141.9;105.9;140.6;1022
PS;ps2b;-0.004334809;-0.048042127;0.036479896;-0.027844477;-0.019917699;0.010105812;0.01829818;0.002533384;-0.024540913;0.009778462;87;Weighted Unifrac;0;141.9;105.9;140.6;1022
PS;ps3b;-0.031098373;-0.014803905;0.05384918;-0.054232768;-0.013017667;-0.009617338;0.032038981;-0.01262008;0.007833413;0.03732856;87;Weighted Unifrac;0;141.9;105.9;140.6;1022
PE;pe1;0.19643222;0.11630666;-0.162407758;-0.04502749;-0.016606327;-0.007511663;0.109975845;-0.018166809;-0.046825632;0.109063824;101.7;Bray-Curtis;87.65;6.579;106;136.9;347.2
PE;pe2;0.20275533;0.13645134;-0.022235119;-0.1273209;-0.087348338;-0.071754445;-0.007392687;0.110510826;0.006618217;-0.091136605;101.7;Bray-Curtis;87.65;6.579;106;136.9;347.2
PE;pe3;0.20009405;-0.01063764;0.06172737;-0.046343426;0.028776453;0.001399843;0.016328871;-0.181738778;0.134116572;-0.036212803;101.7;Bray-Curtis;87.65;6.579;106;136.9;347.2
PP;pp1;0.17859044;0.0166042;0.211861784;0.013082281;-0.11246115;0.160065953;0.007350471;0.033954985;-0.038046122;0.065341589;99;Bray-Curtis;35.27;511.6;117;157.1;656.3
PP;pp2;0.13416835;-0.04657027;-0.037182411;0.059272553;0.106642358;0.040205445;-0.068397288;-0.010013459;-0.074062298;-0.095399343;99;Bray-Curtis;35.27;511.6;117;157.1;656.3
PP;pp3;0.19337829;-0.03082751;-0.012834886;0.107712345;0.173248569;-0.020267719;-0.062244845;0.108481284;0.082556038;0.076277854;99;Bray-Curtis;35.27;511.6;117;157.1;656.3
PS;ps1b;-0.01983097;-0.22792665;-0.033918531;0.021591033;-0.035738749;0.058718099;0.048821109;-0.039782982;-0.009996309;-0.039002567;87;Bray-Curtis;0;141.9;105.9;140.6;1022
PS;ps2b;-0.03422035;-0.16415546;0.006018226;0.002363218;-0.025147293;-0.124624378;0.036566988;0.010675966;-0.049057672;0.017076456;87;Bray-Curtis;0;141.9;105.9;140.6;1022
PS;ps3b;0.02336118;-0.16000346;0.078862247;-0.034222294;-0.007308346;-0.092442393;-0.029844782;0.003279177;-0.097468529;-0.020949294;87;Bray-Curtis;0;141.9;105.9;140.6;1022
