Treatment,Variable,Polymer,Ne,Me,Se,Nc,Mc,Sc,,,,,,,,
Biofilm,Crystal,PE,3,87.6,1.57,3,84.5,1.07,,,,,,,,
Biofilm,Crystal,PP,3,35.3,1.56,3,34.4,0.727,,,,,,,,
Biofilm,Crystal,PS,3,0,0,3,0,0,,,,,,,,
Biofilm,Diameter,PE,12,2.15,0.165,12,2.31,0.477,,,,,,,,
Biofilm,Diameter,PP,12,2.5,0.0227,12,2.48,0.0337,,,,,,,,
Biofilm,Diameter,PS,9,1.99,0.0212,12,1.98,0.044,,,,,,,,
Biofilm,Max.compress,PE,4,6.58,1.22,4,8.57,3.61,,,,,,,,
Biofilm,Max.compress,PP,4,512,4.46,4,506,15.5,,,,,,,,
Biofilm,Max.compress,PS,3,142,0.606,4,139,2.89,,,,,,,,
Biofilm,Stiffness,PE,4,347,131,4,369,151,,,,,,,,
Biofilm,Stiffness,PP,4,656,28.6,4,692,20.9,,,,,,,,
Biofilm,Stiffness,PS,3,1022,9.3,4,1019,11,,,,,,,,
Biofilm,Rough.arith,PE,6,106,45.6,6,71.1,23.8,,,,,,,,
Biofilm,Rough.arith,PP,6,117,49.9,6,107,50.5,,,,,,,,
Biofilm,Rough.arith,PS,6,106,59.3,6,127,60.4,,,,,,,,
Biofilm,Rough.quant,PE,6,137,54.7,6,96.2,29.4,,,,,,,,
Biofilm,Rough.quant,PP,6,157,70.4,6,139,64,,,,,,,,
Biofilm,Rough.quant,PS,6,141,78.3,6,172,76.6,,,,,,,,
H2O,Crystal,PE,3,85.3,1.06,3,86.5,0.93,,,,,,,,
H2O,Crystal,PP,3,33.7,1.82,3,33.7,0.351,,,,,,,,
H2O,Crystal,PS,3,0,0,3,0,0,,,,,,,,
H2O,Diameter,PE,12,1.81,0.118,17,1.86,0.105,,,,,,,,
H2O,Diameter,PP,8,2.53,0.0279,8,2.53,0.0279,,,,,,,,
H2O,Diameter,PS,9,1.97,0.0407,9,1.99,0.0328,,,,,,,,
H2O,Max.compress,PE,17,4.83,1.85,16,5.81,1.36,,,,,,,,
H2O,Max.compress,PP,8,512,3.35,8,503,6.56,,,,,,,,
H2O,Max.compress,PS,9,133,2.09,9,133,2.66,,,,,,,,
H2O,Stiffness,PE,10,193,74.6,8,242,79.7,,,,,,,,
H2O,Stiffness,PP,8,657,30.8,8,634,40.7,,,,,,,,
H2O,Stiffness,PS,8,992,37.7,9,1015,35.5,,,,,,,,
